Año,EntidadID,Entidad,MunicipioID,Municipio,BienJuridico,Tipo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2025,1,Aguascalientes,1001,Aguascalientes,La vida y la Integridad corporal,Homicidio,6,5,7,4,4,6,6,7,13,6,5,0
2025,1,Aguascalientes,1001,Aguascalientes,La vida y la Integridad corporal,Feminicidio,0,0,1,0,0,1,0,0,1,0,1,0
2025,1,Aguascalientes,1001,Aguascalientes,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,3,4,5,1,6,5,4,4,7,8,2,0
2025,1,Aguascalientes,1001,Aguascalientes,Libertad personal,Secuestro,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1001,Aguascalientes,Libertad personal,Rapto,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1001,Aguascalientes,Libertad personal,Otros delitos que atentan contra la libertad personal,17,16,15,14,20,13,16,17,20,22,6,0
2025,1,Aguascalientes,1001,Aguascalientes,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,23,36,51,40,32,32,29,28,35,44,34,0
2025,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Robo,349,306,359,329,344,298,297,305,328,319,280,0
2025,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,21,32,33,12,22,28,26,31,21,19,24,0
2025,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Otros delitos contra el patrimonio,34,26,15,19,25,20,14,17,11,12,7,0
2025,1,Aguascalientes,1001,Aguascalientes,La sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1001,Aguascalientes,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,31,30,35,27,29,28,30,32,28,31,28,0
2025,1,Aguascalientes,1002,Asientos,La vida y la Integridad corporal,Homicidio,3,1,1,1,0,0,0,2,1,1,1,0
2025,1,Aguascalientes,1002,Asientos,La vida y la Integridad corporal,Feminicidio,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1002,Asientos,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,1,1,1,0,0,1,1,0,1,0,0
2025,1,Aguascalientes,1002,Asientos,Libertad personal,Secuestro,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1002,Asientos,Libertad personal,Rapto,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1002,Asientos,Libertad personal,Otros delitos que atentan contra la libertad personal,2,3,0,0,0,0,1,3,1,1,0,0
2025,1,Aguascalientes,1002,Asientos,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,2,3,4,2,1,0,2,0,1,0
2025,1,Aguascalientes,1002,Asientos,El patrimonio,Robo,8,5,3,7,2,4,3,6,5,4,4,0
2025,1,Aguascalientes,1002,Asientos,El patrimonio,Despojo,0,1,0,0,0,1,0,1,3,1,0,0
2025,1,Aguascalientes,1002,Asientos,El patrimonio,Otros delitos contra el patrimonio,0,1,1,2,2,0,1,2,0,1,1,0
2025,1,Aguascalientes,1002,Asientos,La sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1002,Asientos,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,0,2,0,0,0,0,0,2,0,1,0,0
2025,1,Aguascalientes,1003,Calvillo,La vida y la Integridad corporal,Homicidio,0,0,0,2,0,1,0,1,1,0,1,0
2025,1,Aguascalientes,1003,Calvillo,La vida y la Integridad corporal,Feminicidio,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1003,Calvillo,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0,1,0,0,1,0,0,1,0,0,0
2025,1,Aguascalientes,1003,Calvillo,Libertad personal,Secuestro,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1003,Calvillo,Libertad personal,Rapto,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1003,Calvillo,Libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,3,1,1,2,0
2025,1,Aguascalientes,1003,Calvillo,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,1,0,2,3,2,0,0,0,3,0,0,0
2025,1,Aguascalientes,1003,Calvillo,El patrimonio,Robo,5,6,12,6,6,4,7,9,7,10,9,0
2025,1,Aguascalientes,1003,Calvillo,El patrimonio,Despojo,2,1,0,0,0,0,1,0,1,0,0,0
2025,1,Aguascalientes,1003,Calvillo,El patrimonio,Otros delitos contra el patrimonio,0,0,0,0,0,0,0,0,0,3,1,0
2025,1,Aguascalientes,1003,Calvillo,La sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,Aguascalientes,1003,Calvillo,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,3,0,0,0,1,0,1,1,2,1,0,0
2025,1,Aguascalientes,1004,Cosío,La vida y la Integridad corporal,Homicidio,0,1,0,1,0,0,0,1,1,1,0,0
